Player,Game,Score,Accuracy,PlayTimeMinutes,SkillTier
NeoGeo,Galaga,111853,63,38,Pro Gamer
SegaSam,Pac-Man,25667,69,4,Novice
NeoGeo,Space Invaders,34473,83,24,Casual
KongKiller,Frogger,81716,81,12,Pro Gamer
BlipBlop,Space Invaders,26866,88,15,Novice
NeoGeo,Pac-Man,105502,93,12,Pro Gamer
KongKiller,Donkey Kong,30505,81,43,Casual
ChompQueen,Donkey Kong,124854,77,29,Grandmaster
KongKiller,Galaga,98042,87,29,Pro Gamer
SegaSam,Frogger,7634,75,35,Novice
PixelPete,Donkey Kong,34878,77,23,Casual
NeoGeo,Donkey Kong,140429,93,27,Grandmaster
PixelPete,Frogger,119636,90,21,Pro Gamer
PixelPete,Space Invaders,7295,62,34,Novice
PixelPete,Space Invaders,85654,70,21,Pro Gamer
NeoGeo,Pac-Man,129810,84,44,Grandmaster
BlipBlop,Pac-Man,53295,77,4,Casual
BlipBlop,Donkey Kong,52567,65,28,Casual
PixelPete,Pac-Man,133906,99,22,Grandmaster
KongKiller,Space Invaders,114880,71,3,Pro Gamer
KongKiller,Space Invaders,44237,60,23,Casual
SegaSam,Donkey Kong,61631,96,5,Casual
BlipBlop,Galaga,38468,68,30,Casual
RetroRider,Pac-Man,73124,94,25,Casual
KongKiller,Space Invaders,143778,66,36,Grandmaster
SegaSam,Frogger,38157,83,17,Casual
PixelPete,Pac-Man,106689,75,35,Pro Gamer
KongKiller,Galaga,117071,78,29,Pro Gamer
BlipBlop,Frogger,54866,81,22,Casual
BlipBlop,Galaga,54185,80,5,Casual
BlipBlop,Frogger,134400,79,12,Grandmaster
RetroRider,Galaga,66800,85,32,Casual
PixelPete,Donkey Kong,30871,82,23,Casual
NeoGeo,Galaga,25789,94,24,Novice
SegaSam,Frogger,44938,80,27,Casual
ChompQueen,Space Invaders,66235,95,45,Casual
ChompQueen,Frogger,99290,96,18,Pro Gamer
PixelPete,Galaga,118022,84,36,Pro Gamer
NeoGeo,Galaga,50585,92,28,Casual
KongKiller,Pac-Man,94341,77,42,Pro Gamer
SegaSam,Donkey Kong,18966,68,4,Novice
PixelPete,Space Invaders,152001,79,29,Grandmaster
ChompQueen,Donkey Kong,116506,81,36,Pro Gamer
KongKiller,Space Invaders,137302,91,45,Grandmaster
PixelPete,Galaga,37528,80,5,Casual
NeoGeo,Space Invaders,99183,93,13,Pro Gamer
PixelPete,Donkey Kong,33020,79,7,Casual
KongKiller,Pac-Man,101719,87,43,Pro Gamer
BlipBlop,Donkey Kong,77874,86,15,Casual
RetroRider,Space Invaders,129874,77,40,Grandmaster
SegaSam,Frogger,83967,65,31,Pro Gamer
KongKiller,Space Invaders,26114,69,17,Novice
SegaSam,Pac-Man,150740,85,7,Grandmaster
KongKiller,Space Invaders,9710,66,22,Novice
PixelPete,Pac-Man,113414,87,12,Pro Gamer
BlipBlop,Space Invaders,149157,93,25,Grandmaster
KongKiller,Pac-Man,83394,71,21,Pro Gamer
RetroRider,Frogger,117689,66,13,Pro Gamer
BlipBlop,Pac-Man,131173,60,36,Grandmaster
KongKiller,Donkey Kong,75952,62,29,Casual
KongKiller,Pac-Man,67378,80,5,Casual
SegaSam,Pac-Man,53036,90,7,Casual
SegaSam,Donkey Kong,81332,89,38,Pro Gamer
KongKiller,Donkey Kong,142451,83,44,Grandmaster
SegaSam,Space Invaders,80059,69,35,Pro Gamer
RetroRider,Frogger,97248,66,38,Pro Gamer
NeoGeo,Frogger,130908,76,12,Grandmaster
PixelPete,Space Invaders,96257,66,46,Pro Gamer
SegaSam,Galaga,47080,90,23,Casual
BlipBlop,Pac-Man,11235,74,12,Novice
PixelPete,Pac-Man,104405,69,16,Pro Gamer
KongKiller,Donkey Kong,64848,68,30,Casual
RetroRider,Donkey Kong,83187,65,16,Pro Gamer
PixelPete,Pac-Man,51265,81,4,Casual
NeoGeo,Frogger,49135,86,40,Casual
NeoGeo,Donkey Kong,53319,91,7,Casual
KongKiller,Space Invaders,122955,74,17,Grandmaster
PixelPete,Galaga,51692,78,24,Casual
ChompQueen,Pac-Man,98646,74,36,Pro Gamer
BlipBlop,Donkey Kong,125695,96,40,Grandmaster
PixelPete,Donkey Kong,115151,89,15,Pro Gamer
RetroRider,Galaga,16501,70,41,Novice
SegaSam,Galaga,135004,68,4,Grandmaster
KongKiller,Pac-Man,141171,86,20,Grandmaster
ChompQueen,Frogger,54673,71,4,Casual
BlipBlop,Frogger,70049,98,7,Casual
BlipBlop,Space Invaders,82532,83,8,Pro Gamer
ChompQueen,Pac-Man,17633,95,40,Novice
NeoGeo,Space Invaders,23173,80,24,Novice
NeoGeo,Frogger,114006,81,12,Pro Gamer
RetroRider,Pac-Man,88658,88,27,Pro Gamer
PixelPete,Space Invaders,138888,96,45,Grandmaster
NeoGeo,Frogger,16608,91,27,Novice
BlipBlop,Space Invaders,98684,69,3,Pro Gamer
ChompQueen,Pac-Man,111549,86,14,Pro Gamer
BlipBlop,Pac-Man,57656,61,9,Casual
KongKiller,Donkey Kong,28905,97,29,Novice
BlipBlop,Space Invaders,75901,86,25,Casual
SegaSam,Donkey Kong,117933,82,17,Pro Gamer
RetroRider,Donkey Kong,101510,73,2,Pro Gamer
NeoGeo,Space Invaders,114316,78,13,Pro Gamer
BlipBlop,Donkey Kong,78709,99,32,Casual
SegaSam,Pac-Man,101374,93,28,Pro Gamer
NeoGeo,Galaga,108230,88,25,Pro Gamer
BlipBlop,Frogger,93267,61,13,Pro Gamer
BlipBlop,Galaga,24467,77,40,Novice
RetroRider,Galaga,11243,86,28,Novice
ChompQueen,Galaga,148975,72,10,Grandmaster
RetroRider,Pac-Man,146380,86,20,Grandmaster
RetroRider,Space Invaders,141735,86,21,Grandmaster
PixelPete,Galaga,21620,73,35,Novice
BlipBlop,Galaga,21386,67,22,Novice
BlipBlop,Pac-Man,100886,72,21,Pro Gamer
NeoGeo,Pac-Man,33986,86,5,Casual
BlipBlop,Donkey Kong,114138,60,44,Pro Gamer
PixelPete,Donkey Kong,129524,81,4,Grandmaster
BlipBlop,Donkey Kong,126580,75,7,Grandmaster
RetroRider,Space Invaders,113210,98,4,Pro Gamer
SegaSam,Galaga,103230,76,30,Pro Gamer
RetroRider,Pac-Man,88169,69,44,Pro Gamer
SegaSam,Galaga,42585,66,46,Casual
BlipBlop,Pac-Man,7508,87,4,Novice
BlipBlop,Pac-Man,133366,68,21,Grandmaster
RetroRider,Space Invaders,108119,76,18,Pro Gamer
KongKiller,Donkey Kong,149163,65,22,Grandmaster
SegaSam,Frogger,60009,78,32,Casual
BlipBlop,Pac-Man,94889,68,3,Pro Gamer
SegaSam,Frogger,22481,76,30,Novice
NeoGeo,Pac-Man,84226,76,30,Pro Gamer
RetroRider,Pac-Man,54338,89,35,Casual
NeoGeo,Frogger,90223,70,32,Pro Gamer
SegaSam,Donkey Kong,51946,85,13,Casual
KongKiller,Galaga,30086,72,45,Casual
KongKiller,Pac-Man,27404,65,14,Novice
PixelPete,Space Invaders,115010,89,9,Pro Gamer
KongKiller,Donkey Kong,146646,97,19,Grandmaster
SegaSam,Galaga,73925,82,15,Casual
BlipBlop,Galaga,74950,86,42,Casual
RetroRider,Frogger,78128,67,28,Casual
KongKiller,Donkey Kong,103470,68,29,Pro Gamer
SegaSam,Donkey Kong,149770,97,41,Grandmaster
SegaSam,Donkey Kong,123006,100,8,Grandmaster
KongKiller,Galaga,136871,78,45,Grandmaster
SegaSam,Galaga,113065,91,8,Pro Gamer
PixelPete,Donkey Kong,145784,62,44,Grandmaster
BlipBlop,Space Invaders,18360,68,3,Novice
PixelPete,Space Invaders,101575,70,15,Pro Gamer
PixelPete,Space Invaders,54004,69,14,Casual
RetroRider,Pac-Man,43150,99,9,Casual
ChompQueen,Donkey Kong,28968,71,5,Novice
KongKiller,Donkey Kong,69477,99,31,Casual
ChompQueen,Pac-Man,16379,96,13,Novice
ChompQueen,Space Invaders,37856,71,16,Casual
SegaSam,Galaga,7667,63,41,Novice
RetroRider,Pac-Man,143219,96,37,Grandmaster
NeoGeo,Frogger,70206,68,26,Casual
PixelPete,Donkey Kong,130453,82,18,Grandmaster
ChompQueen,Galaga,24563,78,45,Novice
PixelPete,Pac-Man,135577,68,43,Grandmaster
KongKiller,Donkey Kong,126141,91,40,Grandmaster
PixelPete,Frogger,67716,79,35,Casual
KongKiller,Galaga,104129,69,32,Pro Gamer
NeoGeo,Donkey Kong,145344,82,18,Grandmaster
NeoGeo,Space Invaders,7213,69,4,Novice
BlipBlop,Galaga,150247,82,25,Grandmaster
ChompQueen,Space Invaders,112393,93,32,Pro Gamer
NeoGeo,Space Invaders,130162,74,15,Grandmaster
SegaSam,Frogger,103506,93,41,Pro Gamer
KongKiller,Galaga,129896,81,36,Grandmaster
BlipBlop,Space Invaders,37561,73,38,Casual
PixelPete,Galaga,10684,68,43,Novice
ChompQueen,Frogger,103604,92,13,Pro Gamer
RetroRider,Pac-Man,58919,91,15,Casual
KongKiller,Frogger,136611,84,44,Grandmaster
KongKiller,Pac-Man,89165,86,23,Pro Gamer
KongKiller,Frogger,37291,76,26,Casual
PixelPete,Donkey Kong,81203,79,2,Pro Gamer
RetroRider,Donkey Kong,25015,73,10,Novice
BlipBlop,Galaga,34293,63,31,Casual
BlipBlop,Galaga,136546,98,20,Grandmaster
NeoGeo,Frogger,98077,79,38,Pro Gamer
ChompQueen,Donkey Kong,9067,78,20,Novice
NeoGeo,Frogger,76231,68,31,Casual
KongKiller,Donkey Kong,73928,71,45,Casual
RetroRider,Space Invaders,135401,69,14,Grandmaster
BlipBlop,Frogger,50148,74,6,Casual
KongKiller,Space Invaders,142184,61,22,Grandmaster
KongKiller,Galaga,35787,94,23,Casual
SegaSam,Galaga,106925,92,13,Pro Gamer
KongKiller,Donkey Kong,143706,67,6,Grandmaster
KongKiller,Frogger,138974,94,8,Grandmaster
BlipBlop,Frogger,132957,93,40,Grandmaster
PixelPete,Donkey Kong,27936,76,45,Novice
NeoGeo,Galaga,134376,81,17,Grandmaster
ChompQueen,Space Invaders,66066,71,12,Casual
RetroRider,Space Invaders,97728,69,45,Pro Gamer
RetroRider,Donkey Kong,55629,97,43,Casual
RetroRider,Donkey Kong,140602,98,23,Grandmaster
RetroRider,Pac-Man,56415,95,32,Casual
RetroRider,Pac-Man,8969,75,22,Novice
KongKiller,Space Invaders,79422,63,7,Casual
PixelPete,Donkey Kong,130414,81,9,Grandmaster
RetroRider,Pac-Man,112273,92,46,Pro Gamer
BlipBlop,Frogger,87233,67,22,Pro Gamer
PixelPete,Donkey Kong,78306,61,12,Casual
SegaSam,Galaga,108005,64,8,Pro Gamer
SegaSam,Galaga,66136,89,9,Casual
KongKiller,Space Invaders,109855,85,37,Pro Gamer
KongKiller,Galaga,72953,64,20,Casual
PixelPete,Galaga,73663,96,4,Casual
BlipBlop,Donkey Kong,31571,83,11,Casual
NeoGeo,Frogger,42960,71,42,Casual
BlipBlop,Pac-Man,50195,79,4,Casual
NeoGeo,Pac-Man,40195,88,2,Casual
KongKiller,Donkey Kong,36550,67,8,Casual
PixelPete,Space Invaders,122193,90,4,Grandmaster
RetroRider,Galaga,90644,82,4,Pro Gamer
NeoGeo,Galaga,18613,67,7,Novice
BlipBlop,Galaga,111781,64,23,Pro Gamer
SegaSam,Donkey Kong,102144,91,19,Pro Gamer
NeoGeo,Pac-Man,72867,67,27,Casual
KongKiller,Galaga,16894,62,18,Novice
RetroRider,Frogger,80055,88,3,Pro Gamer
BlipBlop,Donkey Kong,147327,87,9,Grandmaster
KongKiller,Pac-Man,91447,88,7,Pro Gamer
BlipBlop,Galaga,120249,90,43,Grandmaster
NeoGeo,Donkey Kong,83236,71,3,Pro Gamer
KongKiller,Space Invaders,114081,93,13,Pro Gamer
BlipBlop,Pac-Man,18330,62,24,Novice
BlipBlop,Donkey Kong,30065,69,10,Casual
KongKiller,Galaga,16184,93,3,Novice
NeoGeo,Galaga,91771,95,34,Pro Gamer
NeoGeo,Space Invaders,103927,68,15,Pro Gamer
ChompQueen,Donkey Kong,42020,95,27,Casual
BlipBlop,Frogger,107438,74,19,Pro Gamer
ChompQueen,Frogger,106693,85,46,Pro Gamer
SegaSam,Galaga,79836,68,25,Casual
SegaSam,Frogger,131203,97,19,Grandmaster
PixelPete,Galaga,35862,96,30,Casual
NeoGeo,Frogger,42567,81,4,Casual
NeoGeo,Pac-Man,142472,83,25,Grandmaster
SegaSam,Space Invaders,78673,67,2,Casual
NeoGeo,Galaga,109681,89,35,Pro Gamer
NeoGeo,Donkey Kong,124141,95,11,Grandmaster
BlipBlop,Frogger,28990,66,21,Novice
KongKiller,Donkey Kong,46800,80,16,Casual
SegaSam,Space Invaders,121489,75,29,Grandmaster
KongKiller,Pac-Man,89541,89,42,Pro Gamer
PixelPete,Galaga,8689,64,6,Novice
KongKiller,Pac-Man,151912,82,46,Grandmaster
KongKiller,Donkey Kong,103370,86,29,Pro Gamer
PixelPete,Galaga,152076,72,42,Grandmaster
NeoGeo,Frogger,57175,81,10,Casual
PixelPete,Pac-Man,127696,93,21,Grandmaster
RetroRider,Galaga,93747,86,2,Pro Gamer
RetroRider,Donkey Kong,102452,74,15,Pro Gamer
SegaSam,Donkey Kong,66616,95,15,Casual
KongKiller,Frogger,20659,72,5,Novice
BlipBlop,Space Invaders,73094,98,30,Casual
BlipBlop,Pac-Man,132770,90,34,Grandmaster
KongKiller,Donkey Kong,25388,78,10,Novice
SegaSam,Frogger,107372,73,18,Pro Gamer
BlipBlop,Frogger,85484,63,39,Pro Gamer
ChompQueen,Frogger,92905,87,35,Pro Gamer
SegaSam,Galaga,137793,79,2,Grandmaster
RetroRider,Frogger,75819,72,6,Casual
KongKiller,Frogger,8835,89,15,Novice
ChompQueen,Frogger,130432,75,11,Grandmaster
PixelPete,Space Invaders,123171,61,40,Grandmaster
NeoGeo,Pac-Man,60383,87,21,Casual
ChompQueen,Frogger,89961,85,46,Pro Gamer
KongKiller,Frogger,150130,86,29,Grandmaster
RetroRider,Space Invaders,104210,75,23,Pro Gamer
BlipBlop,Donkey Kong,85851,96,23,Pro Gamer
SegaSam,Frogger,148303,81,41,Grandmaster
NeoGeo,Space Invaders,76314,90,10,Casual
SegaSam,Space Invaders,39024,84,16,Casual
NeoGeo,Pac-Man,40354,75,18,Casual
PixelPete,Galaga,52679,72,36,Casual
BlipBlop,Space Invaders,22355,96,39,Novice
BlipBlop,Frogger,18609,78,20,Novice
PixelPete,Galaga,21227,65,29,Novice
BlipBlop,Pac-Man,25127,63,14,Novice
NeoGeo,Space Invaders,124639,67,36,Grandmaster
NeoGeo,Galaga,82922,79,2,Pro Gamer
SegaSam,Pac-Man,35310,84,45,Casual
ChompQueen,Galaga,17940,74,17,Novice
KongKiller,Space Invaders,135373,71,37,Grandmaster
BlipBlop,Space Invaders,86579,92,24,Pro Gamer
SegaSam,Pac-Man,132262,84,27,Grandmaster
NeoGeo,Pac-Man,44680,99,13,Casual
BlipBlop,Galaga,60945,64,32,Casual
RetroRider,Galaga,153253,80,21,Grandmaster
ChompQueen,Space Invaders,24157,74,44,Novice
KongKiller,Galaga,55613,97,35,Casual
PixelPete,Pac-Man,117505,97,33,Pro Gamer
RetroRider,Space Invaders,29053,62,12,Novice
RetroRider,Pac-Man,146436,67,21,Grandmaster
PixelPete,Galaga,105073,99,11,Pro Gamer
PixelPete,Space Invaders,99203,89,23,Pro Gamer
RetroRider,Donkey Kong,68056,79,11,Casual
KongKiller,Pac-Man,117673,95,34,Pro Gamer
RetroRider,Donkey Kong,121104,76,36,Grandmaster
ChompQueen,Pac-Man,27937,70,42,Novice
KongKiller,Pac-Man,129574,83,13,Grandmaster
ChompQueen,Frogger,28255,87,21,Novice
ChompQueen,Frogger,62445,75,4,Casual
PixelPete,Donkey Kong,39477,79,27,Casual
NeoGeo,Space Invaders,7272,83,6,Novice
NeoGeo,Pac-Man,55882,94,38,Casual
SegaSam,Galaga,65818,67,20,Casual
RetroRider,Frogger,102253,88,11,Pro Gamer
RetroRider,Frogger,52290,76,45,Casual
RetroRider,Space Invaders,80976,99,10,Pro Gamer
BlipBlop,Donkey Kong,64396,97,5,Casual
SegaSam,Space Invaders,73145,62,12,Casual
PixelPete,Pac-Man,12298,63,7,Novice
RetroRider,Frogger,37002,74,18,Casual
PixelPete,Pac-Man,59289,92,41,Casual
SegaSam,Frogger,131977,61,26,Grandmaster
RetroRider,Space Invaders,38520,60,14,Casual
NeoGeo,Space Invaders,30722,64,11,Casual
KongKiller,Frogger,79915,74,27,Casual
RetroRider,Frogger,21264,62,33,Novice
BlipBlop,Pac-Man,65988,93,9,Casual
PixelPete,Pac-Man,45427,74,41,Casual
BlipBlop,Galaga,115738,81,21,Pro Gamer
SegaSam,Donkey Kong,88468,91,16,Pro Gamer
RetroRider,Galaga,101804,97,35,Pro Gamer
BlipBlop,Frogger,97789,79,20,Pro Gamer
ChompQueen,Pac-Man,101222,100,14,Pro Gamer
PixelPete,Galaga,52221,71,45,Casual
RetroRider,Galaga,21068,93,8,Novice
PixelPete,Galaga,108335,98,30,Pro Gamer
BlipBlop,Space Invaders,75227,67,33,Casual
PixelPete,Space Invaders,115234,81,5,Pro Gamer
KongKiller,Galaga,10724,94,33,Novice
ChompQueen,Frogger,102907,82,34,Pro Gamer
SegaSam,Pac-Man,127980,86,13,Grandmaster
SegaSam,Galaga,49471,91,35,Casual
ChompQueen,Galaga,30310,80,11,Casual
KongKiller,Space Invaders,57510,93,40,Casual
RetroRider,Frogger,46010,60,9,Casual
SegaSam,Space Invaders,104338,62,34,Pro Gamer
PixelPete,Pac-Man,10550,98,26,Novice
PixelPete,Donkey Kong,136838,81,34,Grandmaster
ChompQueen,Space Invaders,80954,73,43,Pro Gamer
BlipBlop,Donkey Kong,125834,80,37,Grandmaster
RetroRider,Frogger,113417,78,9,Pro Gamer
PixelPete,Space Invaders,134147,72,3,Grandmaster
SegaSam,Donkey Kong,112642,67,21,Pro Gamer
NeoGeo,Frogger,143864,77,43,Grandmaster
ChompQueen,Frogger,115751,76,29,Pro Gamer
PixelPete,Frogger,51127,78,4,Casual
KongKiller,Frogger,127293,85,17,Grandmaster
BlipBlop,Space Invaders,73998,72,16,Casual
NeoGeo,Galaga,97913,95,21,Pro Gamer
ChompQueen,Donkey Kong,42462,78,45,Casual
NeoGeo,Galaga,56404,84,33,Casual
BlipBlop,Donkey Kong,123811,86,32,Grandmaster
KongKiller,Frogger,92364,74,45,Pro Gamer
KongKiller,Pac-Man,108471,83,25,Pro Gamer
RetroRider,Frogger,31187,91,35,Casual
NeoGeo,Galaga,40589,74,43,Casual
NeoGeo,Space Invaders,38813,62,46,Casual
KongKiller,Frogger,139570,77,24,Grandmaster
RetroRider,Pac-Man,138171,86,23,Grandmaster
NeoGeo,Frogger,31094,78,20,Casual
RetroRider,Pac-Man,95276,94,16,Pro Gamer
RetroRider,Donkey Kong,86673,98,39,Pro Gamer
ChompQueen,Donkey Kong,79034,86,8,Casual
SegaSam,Donkey Kong,79193,74,9,Casual
SegaSam,Galaga,45242,83,12,Casual
KongKiller,Galaga,84120,62,25,Pro Gamer
ChompQueen,Donkey Kong,149429,98,8,Grandmaster
ChompQueen,Galaga,59075,73,36,Casual
ChompQueen,Space Invaders,100155,75,21,Pro Gamer
BlipBlop,Galaga,21181,88,43,Novice
RetroRider,Donkey Kong,53887,86,10,Casual
NeoGeo,Donkey Kong,86642,65,16,Pro Gamer
KongKiller,Space Invaders,32614,95,16,Casual
KongKiller,Space Invaders,20137,95,17,Novice
KongKiller,Pac-Man,15840,99,5,Novice
ChompQueen,Space Invaders,142474,93,3,Grandmaster
RetroRider,Space Invaders,69632,70,11,Casual
BlipBlop,Donkey Kong,54725,64,11,Casual
ChompQueen,Space Invaders,35679,76,14,Casual
KongKiller,Donkey Kong,89931,76,7,Pro Gamer
KongKiller,Space Invaders,144581,90,21,Grandmaster
RetroRider,Galaga,104735,90,8,Pro Gamer
ChompQueen,Space Invaders,126649,72,41,Grandmaster
BlipBlop,Space Invaders,49405,97,44,Casual
PixelPete,Galaga,21759,88,43,Novice
NeoGeo,Galaga,68035,93,9,Casual
PixelPete,Donkey Kong,91929,82,9,Pro Gamer
PixelPete,Galaga,96229,95,18,Pro Gamer
RetroRider,Space Invaders,82861,82,16,Pro Gamer
NeoGeo,Galaga,41987,79,27,Casual
KongKiller,Space Invaders,112414,66,24,Pro Gamer
KongKiller,Galaga,63998,86,43,Casual
SegaSam,Galaga,29342,88,38,Novice
ChompQueen,Space Invaders,138448,92,34,Grandmaster
KongKiller,Galaga,75353,91,33,Casual
RetroRider,Frogger,97890,100,12,Pro Gamer
KongKiller,Donkey Kong,86949,71,44,Pro Gamer
BlipBlop,Frogger,14959,98,35,Novice
PixelPete,Space Invaders,113196,90,24,Pro Gamer
ChompQueen,Frogger,66830,83,41,Casual
SegaSam,Space Invaders,141763,84,9,Grandmaster
PixelPete,Galaga,104805,74,2,Pro Gamer
KongKiller,Pac-Man,18573,77,32,Novice
NeoGeo,Pac-Man,121346,96,34,Grandmaster
RetroRider,Galaga,66592,62,15,Casual
KongKiller,Frogger,70012,93,35,Casual
RetroRider,Pac-Man,145553,71,34,Grandmaster
RetroRider,Donkey Kong,94127,86,16,Pro Gamer
NeoGeo,Galaga,54419,70,17,Casual
PixelPete,Galaga,131981,61,5,Grandmaster
NeoGeo,Pac-Man,122530,64,22,Grandmaster
ChompQueen,Galaga,16184,77,7,Novice
RetroRider,Donkey Kong,37238,73,7,Casual
KongKiller,Frogger,125572,96,12,Grandmaster
PixelPete,Galaga,13930,78,12,Novice
RetroRider,Pac-Man,149922,90,21,Grandmaster
ChompQueen,Galaga,105460,74,9,Pro Gamer
NeoGeo,Pac-Man,73248,92,44,Casual
PixelPete,Space Invaders,129415,80,12,Grandmaster
ChompQueen,Frogger,120772,72,4,Grandmaster
SegaSam,Frogger,131115,99,19,Grandmaster
BlipBlop,Galaga,63872,79,20,Casual
PixelPete,Donkey Kong,60949,80,41,Casual
RetroRider,Galaga,48680,83,3,Casual
RetroRider,Space Invaders,149467,93,22,Grandmaster
SegaSam,Frogger,154024,93,26,Grandmaster
PixelPete,Pac-Man,5976,90,24,Novice
PixelPete,Donkey Kong,87849,95,18,Pro Gamer
KongKiller,Frogger,98949,67,37,Pro Gamer
KongKiller,Donkey Kong,120635,82,12,Grandmaster
KongKiller,Galaga,152512,82,40,Grandmaster
PixelPete,Galaga,52516,62,40,Casual
RetroRider,Galaga,98765,90,27,Pro Gamer
RetroRider,Galaga,78655,61,5,Casual
ChompQueen,Pac-Man,88083,86,18,Pro Gamer
NeoGeo,Donkey Kong,48264,95,11,Casual
SegaSam,Pac-Man,144793,85,19,Grandmaster
BlipBlop,Galaga,121132,81,12,Grandmaster
NeoGeo,Galaga,98503,79,3,Pro Gamer
NeoGeo,Frogger,122327,68,27,Grandmaster
SegaSam,Pac-Man,39249,62,40,Casual
SegaSam,Donkey Kong,45725,86,17,Casual
RetroRider,Space Invaders,147621,99,3,Grandmaster
ChompQueen,Donkey Kong,90931,61,30,Pro Gamer
PixelPete,Galaga,140094,80,32,Grandmaster
ChompQueen,Donkey Kong,89551,89,43,Pro Gamer
SegaSam,Galaga,141176,92,46,Grandmaster
PixelPete,Galaga,74338,65,45,Casual
PixelPete,Donkey Kong,66747,98,44,Casual
KongKiller,Galaga,114446,78,2,Pro Gamer
PixelPete,Donkey Kong,80076,81,24,Pro Gamer
SegaSam,Pac-Man,78074,99,40,Casual
NeoGeo,Donkey Kong,76455,75,33,Casual
SegaSam,Space Invaders,69083,66,13,Casual
RetroRider,Frogger,109489,72,11,Pro Gamer
PixelPete,Donkey Kong,63894,95,36,Casual
ChompQueen,Frogger,131953,61,8,Grandmaster
KongKiller,Pac-Man,128345,72,42,Grandmaster
SegaSam,Frogger,117606,75,38,Pro Gamer
SegaSam,Galaga,145520,66,27,Grandmaster
BlipBlop,Frogger,16124,89,44,Novice
ChompQueen,Donkey Kong,88796,96,17,Pro Gamer
PixelPete,Pac-Man,95999,98,31,Pro Gamer
BlipBlop,Pac-Man,103718,97,38,Pro Gamer
RetroRider,Galaga,93401,67,34,Pro Gamer
SegaSam,Galaga,41033,92,44,Casual
RetroRider,Frogger,31040,65,30,Casual
KongKiller,Space Invaders,34470,99,28,Casual
RetroRider,Pac-Man,44304,97,14,Casual
BlipBlop,Pac-Man,71930,82,40,Casual
BlipBlop,Frogger,9936,100,32,Novice
KongKiller,Galaga,90978,87,33,Pro Gamer
NeoGeo,Donkey Kong,8328,97,3,Novice
PixelPete,Galaga,76983,70,4,Casual
PixelPete,Frogger,58632,76,35,Casual
ChompQueen,Frogger,150109,84,34,Grandmaster
SegaSam,Galaga,18491,95,3,Novice
ChompQueen,Donkey Kong,14446,65,31,Novice
SegaSam,Frogger,88530,95,19,Pro Gamer
KongKiller,Donkey Kong,44109,74,21,Casual
ChompQueen,Galaga,22868,99,27,Novice
ChompQueen,Donkey Kong,45373,92,33,Casual
NeoGeo,Donkey Kong,35066,70,10,Casual
SegaSam,Pac-Man,92232,82,4,Pro Gamer
PixelPete,Frogger,110753,86,46,Pro Gamer
BlipBlop,Galaga,137603,87,46,Grandmaster
KongKiller,Space Invaders,50401,76,41,Casual
BlipBlop,Pac-Man,34727,65,26,Casual
RetroRider,Space Invaders,112162,89,3,Pro Gamer
BlipBlop,Frogger,120435,91,4,Grandmaster
ChompQueen,Pac-Man,91877,78,2,Pro Gamer
ChompQueen,Donkey Kong,55430,91,26,Casual
NeoGeo,Space Invaders,18344,83,16,Novice
ChompQueen,Pac-Man,84242,81,12,Pro Gamer
BlipBlop,Pac-Man,140075,74,25,Grandmaster
NeoGeo,Frogger,50803,70,28,Casual
